"idő","kút","latitude","longitude","Év","Hónap","Cu","Ni","Co","Cr","Cd","Pb","Zn","As","NH4","PO4","NO3","NO2","pH","T","Vez.kép","logcu","logni","logco","logcr","logcd","logpb","logzn","logas","lognh4","logpo4","logno3","logno2","logvezkep","FAC1_1","FAC2_1","FAC3_1","FAC4_1","FAC5_1"
"127.00","14.00","46.25827456","20.15745932","2.0","2.0","16.88","19.91","0.32","3.97","0.17","2.34","731.5","2.0","80.16","222.46","168.49","5.65","8.0","14.5","1314.0","2.826129489167811","2.991222118076105","-1.1394342831883648","1.3787660946990992","-1.7719568419318752","0.85015092936961","6.595097220460179","0.6931471805599453","4.384024637336554","5.404747310163883","5.126876400850294","1.7316555451583497","7.1808311990445555","0.1289131424800341","1.052024217678297","-1.3965275886059243","-1.605053142839424","0.12037418890421021"
"128.00","15.00","46.25394843","20.13878553","2.0","2.0","16.65","19.48","1.7","3.7","0.22","8.49","100.9","6.41","7362.64","508.12","913.26","184.17","7.2","11.3","4790.0","2.8124102164264526","2.969388298214389","0.5306282510621704","1.308332819650179","-1.5141277326297755","2.138889000323256","4.6141299273595635","1.8578592709325787","8.90417384305919","6.23071764015526","6.81702061551963","5.215859244107515","8.474285690404962","-0.4241451220425743","1.2364727153313178","1.2678388180076943","-0.554646198109918","1.2326459537801253"
"129.00","16.00","46.25061985","20.13224626","2.0","2.0","379.6","14.0","1.43","3.23","0.21","1.8","1449.0","5.79","120.69","306.53","416404.77","3685.3","7.26","12.0","7210.0","5.939118066735773","2.6390573296152584","0.3576744442718159","1.172482137234565","-1.5606477482646683","0.5877866649021191","7.278628942320682","1.7561322915849038","4.7932252746298065","5.7253156298686205","12.939413070988751","8.21210721243592","8.883224230278994","0.3604781568695842","1.030351058697585","0.9176064715234773","1.8068168569067318","0.5892436338200586"
"130.00","17.00","46.24668368","20.12573274","2.0","2.0","203.5","15.73","0.41","3.51","0.17","12.94","911.0","2.42","60.58","335.88","17223.18","10.39","8.3","11.6","2326.0","5.31566600488265","2.7555697170701863","-0.8915981192837836","1.2556160374777743","-1.7719568419318752","2.5603232890727545","6.814542897259958","0.883767540168595","4.103964805599091","5.816753953315362","9.75401142992205","2.340843805111136","7.75190533307861","0.9704762544010327","1.0615191492402463","-1.9594256085349004","-0.244514674682983","0.46539950983793354"
"131.00","18.00","46.23883960","20.11346484","2.0","2.0","90.9","19.97","0.28","4.62","0.18","5.04","1711.0","1.7","84.97","187.15","26611.07","16.36","7.33","13.4","1315.0","4.509760001183433","2.994231147427724","-1.2729656758128873","1.5303947050936475","-1.7147984280919266","1.6174060820832772","7.444833273892193","0.5306282510621704","4.44229825301545","5.231910434350438","10.189082573610516","2.794839331174601","7.181591944611865","0.6358102476738896","1.1556695325863293","-0.41580263137939216","-0.6338085074202781","-0.3460347053726874"
"132.00","19.00","46.23053857","20.10034707","2.0","2.0","4.85","16.34","0.26","3.76","0.22","0.14","28.13","2.82","133.37","190.95","26459.85","9.86","7.22","11.0","1791.0","1.5789787049493917","2.7936160894318567","-1.3470736479666092","1.324418957401803","-1.5141277326297755","-1.9661128563728327","3.3368366225017656","1.0367368849500223","4.8931272206343035","5.252011613671526","10.183383768718638","2.288486168614544","7.490529402060711","-1.8489331114791092","1.2893865079424562","-0.16181823094045897","0.06675551129202187","0.01952937666122609"
"133.00","20.00","46.24153422","20.13221898","2.0","2.0","165.8","22.25","0.46","4.02","0.54","2.28","1839.0","2.58","74.73","319.8","22831.45","9.2","7.46","11.4","1719.0","5.110782242701195","3.1023420086122493","-0.7765287894989963","1.3912819026309295","-0.616186139423817","0.8241754429663494","7.516977224604321","0.9477893989335261","4.313881617942199","5.767695800399854","10.035894250428575","2.2192034840549946","7.449498005382849","0.534973657407635","1.2526248758063367","-0.8751028820220035","-0.33562159250991713","0.33481080406333097"
"134.00","21.00","46.24300451","20.14320387","2.0","2.0","414.1","18.66","0.53","4.4","0.31","0.26","1138.0","","112.41","103.98","1312.34","3.59","8.09","12.4","1857.0","6.026107490551522","2.926382195419198","-0.6348782724359695","1.4816045409242156","-1.171182981502945","-1.3470736479666092","7.037027614686276","","4.722152901473706","4.6441985729555695","7.179567082272885","1.2781522025001875","7.526717561352706","","","","",""
"135.00","22.00","46.24557979","20.15097325","2.0","2.0","2658.0","33.96","1.93","5.16","1.95","38.31","11700.0","28.16","307.79","2582.29","47660.65","455.35","6.9","15.7","5630.0","7.885329239273191","3.5251833614431467","0.6575200029167941","1.6409365794934714","0.6678293725756554","3.6457109587125576","9.367344120785848","3.3379025312898416","5.729417732248032","7.856431881133696","10.77186138883082","6.121066354013828","8.635864721133736","2.066497615479308","0.9646909637143977","1.0087527160183969","0.6196684516402605","2.6207689438373567"
"136.00","23.00","46.24840638","20.15806068","2.0","2.0","30.43","21.0","0.38","4.69","0.41","1.04","57.8","12.54","8892.0","738.17","100.0","30.82","6.84","15.2","1096.0","3.4154289639088797","3.044522437723423","-0.9675840262617056","1.545432582458188","-0.8915981192837836","0.03922071315328133","4.056988775678332","2.5289235352047745","9.092907275084087","6.604174150376977","4.605170185988092","3.42816382989197","6.999422467507961","-0.6853245121714593","0.9905352860260355","1.384911436412038","-2.285804745760935","1.465185380329532"
"137.00","24.00","46.25172895","20.16445487","2.0","2.0","371.6","19.74","2.37","4.79","1.71","24.13","6776.0","43.4","46.03","121.4","414148.97","59.67","7.1","11.7","4640.0","5.917818006939683","2.9826470340053355","0.8628899551470398","1.5665304114228238","0.5364933705145685","3.1834558796369405","8.821142236331891","3.770459441106359","3.82929335782915","4.799090878625398","12.933981019001706","4.088829381533991","8.442469645220301","1.2796906337685807","1.42446568112412","0.2277983842467078","0.9934761974264394","0.86261347098851"
"138.00","25.00","46.24005589","20.18297373","2.0","2.0","4.6","13.79","0.1","4.16","0.21","","33.48","2.98","5835.21","39.45","302.16","31.34","6.86","10.0","1952.0","1.5260563034950492","2.6239436918052106","-2.3025850929940455","1.425515074273172","-1.5606477482646683","","3.5109482456212744","1.091923300517313","8.671665533790266","3.6750340472918834","5.710956678404202","3.444895236927875","7.5766097669730375","","","","",""
"139.00","26.00","46.23663514","20.17605732","2.0","2.0","12.58","15.8","0.34","4.29","0.45","0.12","12.12","11.31","12941.36","33.9","56.54","74.89","6.79","12.0","2040.0","2.5321082512722946","2.760009940032921","-1.0788096613719298","1.4562867329399256","-0.7985076962177716","-2.120263536200091","2.4948569806411682","2.425687290128029","9.468183662995903","3.5234150143864045","4.034948352265444","4.316020370261276","7.620705086838262","-1.961597445886316","1.49273367629103","2.1830729799948365","-1.856716876792279","-0.17741491422372818"
"140.00","27.00","46.22037611","20.16340414","2.0","2.0","105.7","16.15","0.64","3.48","0.42","6.67","1808.0","5.79","110.38","306.3","7780.9","25.96","7.93","8.9","4020.0","4.660604892876192","2.7819200496686656","-0.4462871026284195","1.247032293786383","-0.8675005677047231","1.8976198599275322","7.4999765409521215","1.7561322915849038","4.703928958011355","5.724565013838729","8.959427291715812","3.2565568918358894","8.299037181613066","0.6084437427557127","1.3495342068620482","-1.1881713226705959","0.14548859851200918","0.883734401396223"
"141.00","28.00","46.25197526","20.15110145","2.0","2.0","1381.0","19.35","1.09","4.03","1.02","28.71","2392.0","15.39","91.82","168.84","105077.5","564.79","6.99","12.5","6240.0","7.2305631534092925","2.962692419475791","0.08617769624105241","1.3937663759585917","0.01980262729617973","3.3572454941329726","7.779885115070522","2.733717947850788","4.519830138821076","5.128951520914298","11.562453452119426","6.336453980639853","8.738735461363474","1.4456831943626631","1.2952680092955602","0.9429157851412555","1.0149060070773712","0.6662586514345874"
"142.00","1.00","46.26445781","20.07529457","2.0","3.0","50.57","16.45","0.14","4.7","0.26","4.64","525.1","3.13","201.66","194.51","38044.59","8.56","8.28","7.5","1951.0","3.9233585150918917","2.800325477211381","-1.9661128563728327","1.547562508716013","-1.3470736479666092","1.534714366238164","6.2635887206438134","1.1410330045520618","5.306583110965069","5.2704835756186","10.546514171840766","2.1471001901536506","7.576097340623111","0.15961095764513716","1.611141817555743","-1.7913608431111179","-0.3220687119171738","0.1405386232350036"
"143.00","2.00","46.27994942","20.09128970","2.0","3.0","4.2","19.46","0.35","4.38","0.19","","7.71","0.4","124.43","33.65","922.88","22.89","7.75","5.8","1466.0","1.4350845252893227","2.968361076757859","-1.0498221244986778","1.4770487243883548","-1.6607312068216509","","2.0425181875752383","-0.916290731874155","4.82374330878754","3.5160130560907366","6.827499215216475","3.1307001339644756","7.290292882446597","","","","",""
"144.00","3.00","46.27069589","20.11667412","2.0","3.0","4.41","15.0","0.4","3.06","0.2","","2.73","3.68","161.53","218.81","818.49","7.76","7.67","5.9","1610.0","1.4838746894587547","2.70805020110221","-0.916290731874155","1.1184149159642893","-1.6094379124341003","","1.0043016091968684","1.3029127521808397","5.084690883925667","5.38820377334256","6.7074611792655725","2.048982334195127","7.383989457978509","","","","",""
"145.00","4.00","46.27920246","20.12871370","2.0","3.0","370.9","18.78","0.51","3.39","0.31","11.85","1435.0","","61.38","93.53","1302.47","1.85","8.1","5.9","4760.0","5.915932484495545","2.932792473780117","-0.6733445532637656","1.220829921392359","-1.171182981502945","2.47232786758114","7.268920128193722","","4.1170840491915905","4.53828224044646","7.172017740732708","0.6151856390902335","8.468002947225466","","","","",""
"146.00","5.00","46.27494389","20.13112318","2.0","3.0","122.7","13.71","0.47","2.96","0.12","4.94","332.5","1.1","103.51","63.41","280860.0","22.55","7.93","6.7","3630.0","4.809742351716865","2.6181254935742233","-0.7550225842780328","1.085189268335969","-2.120263536200091","1.5973653311998313","5.806639860095909","0.09531017980432493","4.639668226395659","4.14962157771194","12.545611603522172","3.1157350659486873","8.196987927258897","0.1128347349325919","1.5264120425947654","-1.1412480937808696","0.7382574761928905","-0.8520642547813048"
"147.00","6.00","46.26920020","20.15307660","2.0","3.0","5.4","11.23","0.26","3.17","0.21","0.3","10.9","2.08","88.94","88.81","90606.2","22.98","7.77","11.8","5680.0","1.6863989535702288","2.418588768750352","-1.3470736479666092","1.1537315878891892","-1.5606477482646683","-1.2039728043259361","2.388762789235098","0.7323678937132266","4.48796198508255","4.486499256270413","11.414277922360744","3.1346242724206097","8.644706511715198","-1.9309646520799173","1.0513518505196204","-0.4695666877018744","1.2830592728432335","-0.16296873976315135"
"148.00","7.00","46.26934011","20.16596127","2.0","3.0","8.85","12.12","0.19","3.67","0.11","0.76","688.3","1.46","102.73","306.75","128256.96","14.39","7.61","12.8","3590.0","2.180417459019838","2.4948569806411682","-1.6607312068216509","1.3001916620664788","-2.2072749131897207","-0.2744368457017603","6.534224789404319","0.37843643572024505","4.6321041872281725","5.7260330835910205","11.761791030566355","2.6665335208992764","8.185907481482324","-0.7231913002592852","0.7689562128577699","-0.690950094964124","0.7957755885406553","0.33257183412254887"
"149.00","8.00","46.27819983","20.16376994","2.0","3.0","5.46","15.1","0.36","2.64","0.15","0.44","26.27","","53.85","13.97","412730.2","7.84","7.56","8.4","3560.0","1.6974487897568136","2.714694743820879","-1.0216512475319814","0.9707789171582248","-1.8971199848858813","-0.8209805520698302","3.2684276036974484","","3.9862024036023977","2.6369121732688705","12.930549389705021","2.0592388343623163","8.177515823846075","","","","",""
"150.00","9.00","46.28459488","20.18732313","2.0","3.0","6.25","19.15","0.89","4.21","0.08","1.2","9.73","2.84","388.41","115.63","695.13","41.43","7.78","4.5","1178.0","1.8325814637483102","2.952302715626655","-0.11653381625595151","1.43746264769429","-2.5257286443082556","0.1823215567939546","2.2752138961979136","1.0438040521731147","5.962061482738665","4.75039543814087","6.544098878432767","3.7240052560893107","7.071573364211532","-1.3269704661681525","2.2504296767049095","-0.6680328854828871","-1.2092818364289855","-0.6089696296584055"
"151.00","10.00","46.26497689","20.18209410","2.0","3.0","164.6","18.94","4.44","5.62","1.18","21.37","4033.0","19.7","92.56","43.49","34751.63","1274.13","7.59","7.4","2330.0","5.103518288242969","2.9412760877579323","1.4906543764441336","1.7263316639055997","0.16551443847757333","3.0619880693310564","8.302265794873367","2.9806186357439426","4.527857082885421","3.772531026609547","10.455981756367684","7.150018871742625","7.753623546559746","1.1484250246635432","2.157826752248626","0.20764155706453558","-0.012571466935025116","-0.611495987405973"
"152.00","11.00","46.25678531","20.19530116","2.0","3.0","361.4","49.92","1.01","12.16","0.31","6.35","1547.0","2.1","116.18","57.75","127329.34","510.9","7.54","5.1","2146.0","5.889985378158128","3.9104217240611723","0.009950330853168092","2.498151876538021","-1.171182981502945","1.8484548129046001","7.344072850573066","0.7419373447293773","4.755140712564386","4.056123349401903","11.754532237172283","6.2361738763367525","7.671360923190644","0.8043502597661869","2.916390559639976","0.006961122772533135","0.140524803730905","-1.2952276972220227"
"153.00","12.00","46.26211163","20.16404530","2.0","3.0","0.87","28.78","0.07","8.13","0.22","0.81","31.44","4.72","105.18","228.31","625142.68","1.0","7.36","8.5","17170.0","-0.13926206733350766","3.359680701459222","-2.659260036932778","2.0955609235597192","-1.5141277326297755","-0.21072103131565253","3.448080967561006","1.5518087995974639","4.655673168161198","5.430704354591362","13.345735190664799","0.0","9.75091895389152","-2.2311971398854284","1.8346143872362286","-0.5343540004676552","2.41872442742029","1.2260571888597558"
"154.00","13.00","46.26236168","20.15206926","2.0","3.0","15.1","42.18","0.09","10.71","0.52","","115.0","14.2","91.49","4100.38","2408.04","11.09","7.27","9.6","3020.0","2.714694743820879","3.7419461750506287","-2.4079456086518722","2.3711778844596574","-0.6539264674066639","","4.74493212836325","2.653241964607215","4.516229676691444","8.318834931324432","7.786568417586427","2.4060438013622756","8.013012110368916","","","","",""
"155.00","14.00","46.25827456","20.15745932","2.0","3.0","22.97","50.95","0.42","10.93","0.22","1.62","1316.0","","68.97","105.0","100.0","5.43","7.73","13.3","1329.0","3.134189016701007","3.9308447596687337","-0.8675005677047231","2.391511302188447","-1.5141277326297755","0.4824261492442928","7.182352111885263","","4.2336716274432","4.653960350157523","4.605170185988092","1.691939133945844","7.192182058713246","","","","",""
"156.00","15.00","46.25394843","20.13878553","2.0","3.0","22.95","42.72","2.48","8.8","0.25","10.54","100.2","6.14","3125.57","126.88","1257.4","106.46","7.15","9.0","7570.0","3.133317936506554","3.7546671946519394","0.9082585601768908","2.174751721484161","-1.3862943611198906","2.355177543113216","4.607168188650764","1.814824742159051","8.047371945537645","4.843241757886537","7.136801375948961","4.667769327744611","8.931948346431495","-0.41309063485924563","2.25216634400602","1.318823702126726","-0.18069703222418632","0.49895340678642097"
"157.00","16.00","46.25061985","20.13224626","2.0","3.0","484.8","33.18","1.44","7.67","0.31","2.67","1789.0","0.3","67.09","194.1","566362.88","4590.59","7.43","10.5","7300.0","6.1837364347551045","3.5019472847622986","0.36464311358790924","2.0373166153791646","-1.171182981502945","0.9820784724121582","7.489412083508719","-1.2039728043259361","4.206035001574797","5.268373490174964","13.246990282490858","8.431763835099005","8.895629627136483","0.6246889993460374","1.8298137699535384","0.6068703919878137","1.8324782279415177","-0.9314205119466676"
"158.00","17.00","46.24668368","20.12573274","2.0","3.0","178.7","31.49","0.28","7.37","0.11","10.43","903.4","3.07","62.35","57.78","30829.97","16.35","8.24","9.1","2279.0","5.185708422165383","3.4496700351129332","-1.2729656758128873","1.9974177062012453","-2.2072749131897207","2.344686269012681","6.806165423220504","1.1216775615991057","4.132763672126045","4.056642695038089","10.336242547801552","2.7942278973432626","7.731492029245684","0.800502121585875","2.088149316408127","-1.5079826621784933","-0.28939289638634913","-0.6508680999773386"
"159.00","18.00","46.23883960","20.11346484","2.0","3.0","91.19","38.64","0.41","9.15","0.15","6.5","1728.0","1.78","58.63","58.59","39748.01","15.33","7.64","10.5","1331.0","4.512945241945574","3.654288009344317","-0.8915981192837836","2.21375387928743","-1.8971199848858813","1.8718021769015913","7.454719949364001","0.5766133643039938","4.071246510976124","4.070564033556697","10.590315055936207","2.7298116928837226","7.193685818395112","0.6868809138386717","2.1100341087812557","-0.765021212032745","-0.6510210017814858","-1.1178185658762627"
"160.00","19.00","46.23053857","20.10034707","2.0","3.0","4.8","29.26","0.24","7.27","0.11","0.97","28.37","","101.72","38.19","38623.47","8.94","7.35","9.1","1777.0","1.5686159179138452","3.3762213955919784","-1.4271163556401458","1.9837562915454279","-2.2072749131897207","-0.030459207484708574","3.34533224882076","","4.622223940553919","3.6425737012374246","10.561615401765","2.190535589185423","7.482681828154651","","","","",""
"161.00","20.00","46.24153422","20.13221898","2.0","3.0","165.6","40.21","0.42","8.89","0.44","4.02","1765.0","0.62","148.88","57.76","38704.13","10.36","7.55","10.0","1703.0","5.109575241951159","3.6941157209091826","-0.8675005677047231","2.1849270495258133","-0.8209805520698302","1.3912819026309295","7.475905969367397","-0.4780358009429998","5.003140612333995","4.05629649458457","10.563701591670128","2.337952236831337","7.440146680662688","0.6104676302436106","2.049265202600577","-0.574411691526238","-0.6122265674767208","-1.2925532041423233"
"162.00","21.00","46.24300451","20.14320387","2.0","3.0","504.2","34.83","0.38","7.95","0.18","3.88","1266.0","3.14","81.74","70.34","1852.88","5.4","8.01","10.3","1878.0","6.222973014753819","3.5504790843779097","-0.9675840262617056","2.0731719286662407","-1.7147984280919266","1.355835153635182","7.143617602704121","1.144222799920162","4.403543478136132","4.253340627045836","7.524496464339457","1.6863989535702288","7.537962659768208","0.9014295482372151","1.9962980492315154","-1.403923418210012","-1.1008026021587691","-0.30575703372914653"
"163.00","22.00","46.24557979","20.15097325","2.0","3.0","2177.0","60.43","0.46","12.17","1.89","55.1","10420.0","50.94","130.09","609.55","53377.73","4916.4","6.86","15.6","5950.0","7.685703061234547","4.101485670373467","-0.7765287894989963","2.498973906999436","0.636576829071551","4.009149716158869","9.251482315307358","3.930648469551311","4.868226518613468","6.412720980011155","10.88514889676392","8.500331834340825","8.691146498539675","2.119942082441819","1.855345815569533","1.7310531504453333","0.7811061410601794","1.630023155690706"
"164.00","23.00","46.24840638","20.15806068","2.0","3.0","29.51","39.57","0.24","10.74","0.28","1.15","53.33","13.59","8714.57","190.58","100.0","14.77","6.98","13.7","1129.0","3.3847291889548483","3.678071255397333","-1.4271163556401458","2.3739750890807185","-1.2729656758128873","0.13976194237515863","3.9764990246125107","2.6093342281630525","9.072751616518838","5.250072053920042","4.605170185988092","2.6925980965432883","7.029087564149662","-0.7295694221795478","1.8407554924927092","1.308593749205481","-2.4994471623479275","0.717523265307017"
"165.00","24.00","46.25172895","20.16445487","2.0","3.0","577.7","52.03","0.7","12.37","1.15","20.86","8107.0","45.43","10.0","100.54","636426.05","41.54","7.31","10.7","4710.0","6.35905470278722","3.9518204753022124","-0.35667494393873245","2.5152741864043966","0.13976194237515863","3.0378334495726262","9.000483164987708","3.816172679771312","2.302585092994046","4.610555658264429","13.363623507983258","3.726656818447966","8.457443187010464","1.4467314956220838","2.3395153856556243","-0.33043381565777935","1.2130626562528426","0.6678974855457406"
"166.00","25.00","46.24005589","20.18297373","2.0","3.0","5.16","37.07","0.09","9.55","0.16","","24.54","1.61","5938.07","33.45","100.0","12.96","6.93","9.4","1940.0","1.6409365794934714","3.612808017162641","-2.4079456086518722","2.256541154492639","-1.8325814637483102","","3.2003044392827653","0.4762341789963717","8.689139443735192","3.5100517865742376","4.605170185988092","2.561867690924129","7.570443252057374","","","","",""
"167.00","26.00","46.23663514","20.17605732","2.0","3.0","9.48","43.25","0.37","11.24","0.14","2.56","16.53","0.71","13181.14","29.2","100.0","18.41","6.88","10.7","1897.0","2.2491843162669305","3.7669972333778885","-0.9942522733438669","2.419478844465545","-1.9661128563728327","0.9400072584914712","2.805176911832933","-0.342490308946776","9.48654229900497","3.374168709274236","4.605170185988092","2.9128939952449864","7.5480289699350145","-1.1486828239367555","2.303484193925185","1.745384078231229","-2.219250431471207","-1.4297419829679976"
"168.00","27.00","46.22037611","20.16340414","2.0","3.0","55.69","42.29","0.66","11.1","0.29","7.82","2064.0","1.53","0.0","296.98","11404.36","49.22","7.79","8.0","5660.0","4.019800597601577","3.7445506514843974","-0.4155154439616658","2.4069451083182885","-1.2378743560016174","2.05668455455722","7.6324011266014535","0.4252677354043441","","5.693664796467916","9.34175101740523","3.89630004496291","8.641179171197228","","","","",""
"169.00","28.00","46.25197526","20.15110145","3.0","3.0","1428.0","63.34","0.77","14.72","0.45","22.46","2387.0","","65.84","94.38","201188.42","358.08","6.83","11.5","6380.0","7.2640301428995295","4.148517041110494","-0.2613647641344075","2.6892071133007303","-0.7985076962177716","3.111735949310297","7.77779262633883","","4.187227556368814","4.547329186298241","12.21199716087942","5.88075642512356","8.760923376338836","","","","",""
"170.00","1.00","46.26445781","20.07529457","2.0","4.0","71.39","4.51","0.34","2.93","0.3","5.69","541.4","","38.55","174.52","44092.98","16.5","8.4","10.9","2051.0","4.268157803514369","1.506297153514587","-1.0788096613719298","1.075002423028976","-1.2039728043259361","1.7387102481382397","6.2941583771802","","3.6519561000093383","5.1620393482554086","10.694055865090402","2.803360380906535","7.62608275807238","","","","",""
"171.00","2.00","46.27994942","20.09128970","2.0","4.0","3.63","6.67","0.66","0.62","0.11","0.35","11.86","","123.68","79.44","650.46","39.83","7.49","8.5","1538.0","1.2892326482767593","1.8976198599275322","-0.4155154439616658","-0.4780358009429998","-2.2072749131897207","-1.0498221244986778","2.4731713935695794","","4.817697584839112","4.375002019736917","6.477679804901255","3.684620397193553","7.338238150065589","","","","",""
"172.00","3.00","46.27069589","20.11667412","2.0","4.0","11.15","8.0","0.99","0.8","0.23","1.98","6.22","0.6","176.29","291.62","100.0","45.21","7.84","9.8","1638.0","2.411439497906128","2.0794415416798357","-0.01005033585350145","-0.2231435513142097","-1.4696759700589417","0.6830968447064438","1.827769906751088","-0.5108256237659907","5.172130366297652","5.6754515848881395","4.605170185988092","3.811318301306514","7.401231264413015","-0.9881399706001226","0.6510279041366197","-0.9342451512677716","-1.0836947440591136","-0.34247824157995455"
"173.00","4.00","46.27920246","20.12871370","2.0","4.0","282.7","9.08","0.56","0.96","0.38","7.41","1601.0","","13.59","87.96","1304.57","17.81","8.32","10.0","5070.0","5.644386264699545","2.206074192613202","-0.579818495252942","-0.040821994520255166","-0.9675840262617056","2.0028304393079956","7.3783837129967145","","2.6093342281630525","4.47688216568656","7.173628763543401","2.87976009730157","8.531096096585228","","","","",""
"174.00","5.00","46.27494389","20.13112318","2.0","4.0","131.2","4.45","0.69","0.96","0.08","7.39","325.9","","55.87","67.66","284303.8","135.93","8.24","10.4","3720.0","4.876722876509988","1.4929040961781488","-0.37106368139083207","-0.040821994520255166","-2.5257286443082556","2.0001277349601105","5.786590585843515","","4.023027563471057","4.214495163352562","12.55779866371227","4.912140047347156","8.221478947267192","","","","",""
"175.00","6.00","46.26920020","20.15307660","2.0","4.0","7.43","2.91","0.59","0.89","0.21","14.43","24.61","0.18","4.86","119.31","165048.98","37.37","7.95","14.3","5790.0","2.005525858729668","1.0681530811834012","-0.527632742082372","-0.11653381625595151","-1.5606477482646683","2.6693093727857793","3.2031528644029645","-1.7147984280919266","1.5810384379124025","4.781725147887709","12.013997557316772","3.6208682434973927","8.663887570567042","-0.5213808505477621","-0.22753203583836284","-1.4857866785967802","1.7576645404035915","-1.1279867888309414"
"176.00","7.00","46.26934011","20.16596127","2.0","4.0","14.64","2.81","0.28","1.72","0.1","3.18","485.3","1.01","638.36","260.21","120651.91","31.28","7.91","14.3","3610.0","2.6837575085331657","1.0331844833456545","-1.2729656758128873","0.5423242908253617","-2.3025850929940455","1.1568811967920856","6.18476725641117","0.009950330853168092","6.458902387530985","5.561488997315319","11.700664901843743","3.4429789156771102","8.191463051326927","-0.3581525586539625","-0.3089693224803827","-0.6395219126688337","0.4408751817093247","0.21723494439934057"
"177.00","8.00","46.27819983","20.16376994","2.0","4.0","7.51","7.25","0.26","0.65","0.11","3.33","46.59","","477.92","76.65","393841.39","19.95","7.81","12.2","3700.0","2.0162354657760435","1.9810014688665833","-1.3470736479666092","-0.4307829160924542","-2.2072749131897207","1.2029723039923526","3.8413859258287055","","6.169443354467799","4.339249605317823","12.883703543777875","2.9932291433358724","8.216088098632316","","","","",""
"178.00","12.00","46.26211163","20.16404530","2.0","4.0","10.71","9.27","1.18","1.2","0.1","24.31","22.82","4.12","619.59","220.1","1664.7","64.4","7.74","12.6","981.0","2.3711778844596574","2.2267833795777636","0.16551443847757333","0.1823215567939546","-2.3025850929940455","3.1908877883280318","3.1276373444339294","1.415853163361435","6.429057968967668","5.394081988532416","7.417400205999965","4.165113633110308","6.8885724595653635","-0.14653079348705594","0.6411584159447647","-0.2723992683977645","-1.4812194471528983","-0.13330725704786783"
"179.00","10.00","46.26497689","20.18209410","2.0","4.0","631.3","16.62","1.08","1.19","0.89","23.42","3923.0","1.57","63.44","61.97","31250.29","3947.73","7.75","12.6","2492.0","6.44778118537358","2.810606789427302","0.0769610411361284","0.17395330712343798","-0.11653381625595151","3.1535903581695712","8.274611946209552","0.45107561936021673","4.150094577326593","4.126650396974016","10.349783935121488","8.280896009156983","7.820840879907344","1.6682213664997874","0.941579406002759","0.19538976069416414","0.13955093927813078","-1.2983526477543879"
"180.00","11.00","46.25678531","20.19530116","2.0","4.0","338.8","6.81","1.12","0.8","0.36","8.71","1299.0","","50.82","66.33","124110.58","1674.17","7.65","11.0","2142.0","5.8254099627779","1.918392120161421","0.11332868530700327","-0.2231435513142097","-1.0216512475319814","2.1644717908644115","7.1693500166706","","3.928289977892018","4.194642283537465","11.728928221386356","7.423072799059316","7.669495251007694","","","","",""
"181.00","12.00","46.26211163","20.16404530","2.0","4.0","5.75","","0.09","0.45","0.3","6.77","54.51","5.32","10.0","261.71","102882.7","68.74","7.57","11.3","17260.0","1.749199854809259","","-2.4079456086518722","-0.7985076962177716","-1.2039728043259361","1.9125010869241836","3.9983841710761894","1.6714733033535532","2.302585092994046","5.56723702049883","11.541344783295036","4.230331271421687","9.756146964637418","","","","",""
"182.00","13.00","46.26236168","20.15206926","2.0","4.0","42.55","4.56","0.32","1.27","0.67","2.0","286.0","9.73","53.53","4445.39","602695.51","17.95","7.55","14.0","2752.0","3.750679855019383","1.5173226235262947","-1.1394342831883648","0.23901690047049992","-0.40047756659712525","0.6931471805599453","5.655991810819852","2.2752138961979136","3.98024224440529","8.399622883131782","13.309167389634194","2.8875901149342877","7.920083199053234","-0.2259624627685205","-0.3327005191597284","-1.2248226665565225","1.252444347998301","2.4811469029860747"
"183.00","14.00","46.25827456","20.15745932","2.0","4.0","30.37","10.49","0.43","1.19","0.28","9.18","1928.0","","50.82","1028.01","59.35","20.03","8.02","14.9","1322.0","3.4134552790576573","2.3504224224082058","-0.843970070294529","0.17395330712343798","-1.2729656758128873","2.217027204632399","7.564238475170491","","3.928289977892018","6.935380173594257","4.083452121055677","2.997231149677727","7.186901020411631","","","","",""
"184.00","15.00","46.25394843","20.13878553","2.0","4.0","19.43","8.16","1.55","0.9","0.32","7.49","723.4","1.06","4606.07","775.53","93.07","206.95","7.27","13.7","6570.0","2.9668182633893485","2.0992441689760155","0.4382549309311553","-0.10536051565782628","-1.1394342831883648","2.0135687975291283","6.5839623195179975","0.058268908123975824","8.435130277833538","6.653546666587895","4.533351898197619","5.332477218194741","8.790269111478656","0.051555456541930056","-0.03285134834240333","0.9272309144613049","-0.5871549272338188","1.1402105353611018"
"185.00","16.00","46.25061985","20.13224626","2.0","4.0","440.1","4.5","1.38","1.4","0.26","5.37","1259.0","","10.0","88.35","521309.88","3025.7","7.62","12.3","7450.0","6.0870019738170456","1.5040773967762742","0.3220834991691132","0.3364722366212129","-1.3470736479666092","1.6808279085207734","7.138073034044347","","2.302585092994046","4.481306198765705","13.164099923195053","8.014897748653622","8.915969311373605","","","","",""
